time_medstack,O18_medstack,C13_medstack
581,0.22,1.26
582,0.01,1.22
583,-0.06,1.17
584,-0.09,1.17
585,-0.06,1.17
586,0,1.17
587,0.25,1.1
588,0.56,1
589,0.78,0.96
590,0.69,0.99
591,0.54,1.03
592,0.53,1.03
593,0.51,1.03
594,0.45,0.91
595,0.33,0.62
596,0.26,0.4
597,0.36,0.63
598,0.31,0.96
599,0.23,1.3
600,0.15,1.62
601,0.23,1.55
602,0.3,1.48
603,0.38,1.42
604,0.43,1.35
605,0.39,1.3
606,0.32,1.24
607,0.2,1.19
608,0.01,1.09
609,-0.31,0.96
610,-0.74,0.83
611,-1.18,0.7
612,-1.31,0.59
613,-1.28,0.48
614,-1.25,0.38
615,-1.23,0.29
616,-1.33,0.27
617,-1.56,0.27
618,-1.96,0.3
619,-2.21,0.34
620,-1.91,0.41
621,-1.55,0.49
622,-1.03,0.56
623,-0.46,0.63
624,-0.04,0.69
625,0.23,0.73
626,0.51,0.78
627,0.78,0.82
628,0.88,0.87
629,0.91,0.85
630,0.92,0.82
631,0.94,0.8
632,0.95,0.77
633,0.96,0.74
634,0.84,0.73
635,0.7,0.73
636,0.55,0.72
637,0.39,0.72
638,0.28,0.7
639,0.26,0.67
640,0.25,0.64
641,0.24,0.61
642,0.22,0.58
643,0.12,0.54
644,-0.05,0.5
645,-0.18,0.48
646,-0.31,0.46
647,-0.56,0.44
648,-0.71,0.42
649,-0.81,0.4
650,-0.7,0.38
651,-0.5,0.38
652,-0.26,0.49
653,0.24,0.59
654,0.76,0.7
655,1.1,0.73
656,0.93,0.66
657,0.76,0.6
658,0.69,0.53
659,0.85,0.56
660,1.04,0.62
661,1.3,0.66
662,1.57,0.68
663,1.6,0.65
664,1.46,0.63
665,1.29,0.6
666,1.18,0.56
667,1.15,0.55
668,1.12,0.54
669,1.08,0.53
670,1.15,0.62
671,1.25,0.73
672,1.36,0.85
673,1.45,0.94
674,1.46,0.89
675,1.48,0.85
676,1.49,0.8
677,1.49,0.79
678,1.47,0.84
679,1.45,0.89
680,1.43,0.94
681,1.27,0.99
682,1.07,1.04
683,0.87,1.09
684,0.66,1.13
685,0.5,1.07
686,0.32,1.01
687,0.13,0.97
688,-0.08,0.98
689,-0.28,1.07
690,-0.47,1.16
691,-0.4,1.17
692,-0.05,1.11
693,0.34,1.04
694,0.72,0.97
695,0.84,0.95
696,0.91,0.93
697,0.97,0.91
698,0.72,0.89
699,0.48,0.87
700,0.46,0.86
701,0.4,0.85
702,0.31,0.84
703,0.22,0.83
704,0.29,0.83
705,0.45,0.84
706,0.65,0.85
707,0.73,0.79
708,0.71,0.69
709,0.69,0.58
710,0.77,0.56
711,0.93,0.65
712,0.94,0.75
713,0.91,0.86
714,1.01,0.86
715,1.19,0.81
716,1.37,0.76
717,1.54,0.71
718,1.62,0.74
719,1.65,0.81
720,1.68,0.88
721,1.71,0.95
722,1.64,0.9
723,1.38,0.81
724,1.02,0.71
725,0.7,0.61
726,0.65,0.57
727,0.64,0.56
728,0.55,0.55
729,0.44,0.55
730,0.34,0.55
731,0.29,0.58
732,0.23,0.62
733,0.29,0.65
734,0.47,0.68
735,0.67,0.71
736,0.88,0.74
737,1.04,0.75
738,1.15,0.75
739,1.26,0.76
740,1.37,0.76
741,1.48,0.77
742,1.46,0.76
743,1.31,0.75
744,1.32,0.77
745,1.39,0.81
746,1.39,0.84
747,1.39,0.88
748,1.4,0.91
749,1.4,0.95
750,1.38,0.95
751,1.37,0.96
752,1.35,0.96
753,1.34,0.97
754,1.29,1.02
755,1.3,1.07
756,1.37,1.12
757,1.45,1.17
758,1.5,1.23
759,1.38,1.24
760,1.25,1.25
761,1.13,1.26
762,1.07,1.28
763,1.05,1.29
764,1.02,1.31
765,0.98,1.33
766,0.89,1.3
767,0.79,1.27
768,0.7,1.24
769,0.59,1.21
770,0.43,1.15
771,0.45,1.11
772,0.46,1.09
773,0.39,1.11
774,0.01,1.24
775,-0.13,1.31
776,-0.07,1.32
777,-0.05,1.28
778,-0.3,1.11
779,-0.46,1
780,-0.24,1.12
781,-0.17,1.19
782,-0.43,1.09
783,-0.69,0.99
784,-0.65,0.98
785,-0.53,1
786,-0.47,1.01
787,-0.36,1.02
788,-0.34,1.05
789,-0.35,1.07
790,-0.33,1.1
791,-0.07,1.12
792,0.16,1.13
793,0.04,1.13
794,0.25,1.1
795,0.56,1.05
796,0.97,0.95
797,1.18,0.9
798,1.38,0.84
799,1.52,0.88
800,1.6,0.88
801,1.69,0.89
802,1.77,0.9
803,1.94,0.82
804,1.84,0.83
805,1.68,0.86
806,1.41,0.94
807,1.35,1.04
808,1.31,1.13
809,1.3,1.1
810,1.32,1.06
811,1.35,1.02
812,1.45,0.97
813,1.51,0.9
814,1.49,0.88
815,1.45,0.9
816,1.38,0.93
817,1.16,0.96
818,0.95,0.97
819,0.88,0.94
820,0.82,0.91
821,0.71,0.9
822,0.37,0.92
823,0.07,0.96
824,0,1.01
825,-0.03,1.02
826,-0.06,1.03
827,-0.09,1.04
828,-0.09,1.05
829,-0.08,1.04
830,-0.1,1.03
831,-0.17,0.94
832,-0.24,0.84
833,-0.01,0.77
834,0.44,0.75
835,0.83,0.72
836,1.12,0.69
837,1.13,0.72
838,0.92,0.79
839,0.7,0.86
840,0.4,0.88
841,0.05,0.87
842,-0.3,0.86
843,-0.07,0.85
844,0.31,0.85
845,0.59,0.84
846,0.55,0.82
847,0.28,0.77
848,0.01,0.73
849,-0.14,0.68
850,-0.12,0.65
851,-0.08,0.61
852,-0.07,0.57
853,-0.14,0.51
854,-0.21,0.46
855,-0.28,0.4
856,-0.41,0.35
857,-0.49,0.29
858,-0.48,0.22
859,-0.43,0.3
860,-0.58,0.38
861,-0.76,0.46
862,-0.43,0.51
863,0.17,0.61
864,0.72,0.72
865,0.86,0.76
866,0.97,0.76
867,1.28,0.67
868,1.64,0.57
869,1.92,0.5
870,2.13,0.43
871,2.32,0.36
872,2.29,0.39
873,2.25,0.43
874,2.21,0.46
875,2.1,0.47
876,1.84,0.49
877,1.57,0.52
878,1.35,0.55
879,1.34,0.6
880,1.41,0.65
881,1.59,0.7
882,1.62,0.71
883,1.6,0.67
884,1.58,0.62
885,1.61,0.63
886,1.71,0.69
887,1.81,0.76
888,1.91,0.81
889,1.98,0.74
890,2.03,0.7
891,2.08,0.66
892,1.98,0.68
893,1.83,0.71
894,1.71,0.72
895,1.7,0.71
896,1.83,0.7
897,1.95,0.7
898,2.07,0.7
899,1.72,0.66
900,1.37,0.62
901,1.16,0.59
902,1.15,0.56
903,1.07,0.57
904,0.77,0.6
905,0.52,0.63
906,0.64,0.64
907,0.77,0.66
908,1.02,0.65
909,1.23,0.63
910,1.35,0.62
911,1.37,0.6
912,1.37,0.6
913,1.46,0.61
914,1.55,0.63
915,1.46,0.65
916,1.43,0.64
917,1.41,0.67
918,1.41,0.72
919,1.39,0.76
920,1.37,0.79
921,1.41,0.8
922,1.4,1.02
923,1.45,0.91
924,1.37,0.8
925,1.12,0.91
926,1.11,0.9
927,1.09,0.88
928,1.09,1.05
929,0.87,1.03
930,0.55,0.95
931,0.1,1.18
932,0.43,0.99
933,-0.04,0.91
934,0.19,0.93
935,0.63,0.93
936,0.69,0.81
937,0.75,0.82
938,0.56,0.87
939,0.34,0.97
940,0.2,1.09
941,0.34,1.14
942,0.44,1.19
943,0.52,1
944,0.46,1.01
945,0.4,1.02
946,0.52,1.12
947,0.34,1.04
948,0.15,0.96
949,-0.03,0.88
950,-0.03,0.77
951,-0.58,0.42
952,-1.05,0.06
953,-0.14,0.53
954,-0.24,0.38
955,-0.58,0.12
