pollen_depth,pollen_age_kabp,quercus_decid,ap_minus_pinus
164.91,399.9663,42.4623,64.8241
165.07,400.3559,,
165.23,400.73185,,
165.39,401.1312,,
165.55,401.5419,10.231,22.4422
165.71,401.95085,,
165.87,402.36755,,
166.03,402.7695,,
166.19,403.17765,35.4037,73.2919
166.35,403.5865,,
166.51,403.9978,,
166.67,404.496,,
166.83,405.0244,37.0656,74.1313
167,405.5974,,
167.15,406.1073,,
167.31,406.6441,,
167.47,407.1875,17.1253,30.581
167.63,407.72485,,
167.79,408.25975,,
167.95,408.6852,,
168.11,409.05175,27.3312,66.881
168.27,409.41975,,
168.43,409.7908,,
168.59,410.16675,,
168.75,410.5428,35.0819,66.2295
168.91,410.9239,,
169.07,411.3001,,
169.23,411.7322,,
169.39,412.21305,30.2941,72.9412
169.55,412.69975,,
169.71,413.18695,,
169.87,413.6736,,
170.03,414.16015,44,76.6667
170.19,414.6485,,
170.35,415.13255,,
170.51,415.5743,,
170.67,415.96885,50,76.9231
170.83,416.36185,,
170.99,416.7494,,
171.15,417.13645,,
171.31,417.52195,46.0064,75.0799
171.47,417.91265,,
171.63,418.2996,,
171.79,418.71425,,
171.95,419.20655,45.8689,81.1966
172.11,419.70805,,
172.27,420.21275,,
172.43,420.7132,,
172.59,421.20705,38.3481,75.5162
