geochem_depth,geochem_age_kabp,TIC,TOC,Qz_peakarea,C13,O18,TN,TS
57.55,152.62205,0.32,0.72,,,,0.19,0.044
57.71,152.979,0.2,0.74,0.366981,,,0.19,0.074
57.87,153.3319,0.08,0.86,,,,0.19,0.057
58.03,153.68925,0.27,0.75,0.314391,,,0.17,0.078
58.19,154.05215,0.11,0.8,,,,0.19,0.073
58.35,154.4122,0.12,0.79,0.316454,,,0.2,0.079
58.51,154.77425,0.53,0.5,,,,0.18,0.079
58.67,155.1083,0.67,0.57,0.307697,,,0.19,0.089
58.83,155.31105,0.28,0.8,,,,0.24,0.159
58.99,155.5102,0.14,0.82,0.316707,,,0.2,0.078
59.15,155.70525,0.16,0.87,,,,0.19,0.066
59.31,155.9085,0.53,0.67,0.331118,,,0.19,0.091
59.47,156.1057,0.11,0.86,,,,0.21,0.058
59.63,156.3082,0.1,0.87,0.326529,,,0.19,0.122
59.79,156.507,0.14,0.85,,,,0.2,0.102
59.95,156.70415,0.17,0.75,0.327892,,,0.19,0.062
60.11,156.88215,0.68,0.6,,,,0.2,0.066
60.27,157.05425,0.3,0.8,0.297358,,,0.2,0.081
60.43,157.23255,0.12,0.95,,,,0.21,0.085
60.59,157.4118,0.09,0.92,0.326286,,,0.2,0.077
60.75,157.5916,0.54,0.71,,,,0.2,0.096
60.91,157.7673,0.3,0.88,0.292679,,,0.22,0.099
61.07,157.94645,0.1,0.79,,,,0.22,0.064
61.23,158.1221,0.21,0.78,0.29593,,,0.21,0.09
61.39,158.31055,0.56,0.65,,,,0.22,0.091
61.55,158.50695,0.09,0.81,0.326307,,,0.22,0.07
61.685,158.66765,0.05,0.91,,,,0.19,0.103
61.87,158.88815,0.06,0.86,0.343939,,,0.22,0.082
62.03,159.07765,0.08,0.8,,,,0.23,0.088
62.19,159.267,0.05,0.69,0.337473,,,0.25,0.071
62.35,159.4586,0.31,0.55,,,,0.25,0.166
62.51,159.64295,0.06,0.68,0.373156,,,0.23,0.126
62.67,159.85735,0.07,0.71,,,,0.2,0.096
62.83,160.0753,0.12,0.79,0.33266,,,0.2,0.083
62.99,160.3015,0.1,0.72,,,,0.2,0.087
63.15,160.51735,0.05,0.79,0.352755,,,0.2,0.082
63.31,160.7351,0.11,0.79,,,,0.2,0.111
63.47,160.9512,0.15,0.92,0.354865,,,0.2,0.133
63.63,161.165,0.85,0.66,,,,0.18,0.098
63.79,161.375,0.06,0.83,0.3504,,,0.2,0.063
63.95,161.59345,0.15,0.79,,,,0.2,0.088
64.11,161.8146,0.13,0.75,0.355737,,,0.21,0.1
64.27,162.04245,0.07,0.7,,,,0.2,0.124
64.43,162.26125,0.51,0.7,0.338319,,,0.18,0.095
64.59,162.48345,0.08,0.81,,,,0.2,0.066
64.75,162.7037,0.05,0.9,0.329006,,,0.2,0.081
64.91,162.97395,0.06,0.8,,,,0.19,0.083
65.07,163.14255,0.09,0.62,0.335844,,,0.19,0.079
65.23,163.3721,0.33,0.7,,,,0.19,0.096
65.39,163.62625,0.52,0.53,0.400562,,,0.21,0.101
65.55,163.87355,0.15,0.87,,,,0.19,0.107
65.71,164.12255,0.07,0.86,0.313978,,,0.21,0.129
65.87,164.3747,0.32,0.58,,,,0.22,0.123
66.03,164.62605,0.2,0.77,0.330301,,,0.2,0.076
66.19,164.87885,0.08,0.87,,,,0.2,0.098
66.35,165.1314,0.27,0.69,0.315988,,,0.21,0.093
66.51,165.3819,0.11,0.87,,,,0.22,0.122
66.67,165.6326,0.12,0.75,0.307158,,,0.22,0.143
66.83,165.88085,0.53,0.48,,,,0.22,0.116
66.99,166.1286,0.67,0.65,0.292838,,,0.22,0.144
67.15,166.38655,0.28,0.78,,,,0.23,0.093
67.31,166.6318,0.14,0.66,0.293717,,,0.22,0.118
67.47,166.87785,0.16,0.84,,,,0.22,0.086
67.63,167.1151,0.53,0.61,0.300338,,,0.22,0.065
67.79,167.35315,0.11,0.79,,,,0.23,0.119
67.95,167.58645,1.29,0.82,0.296557,,,0.2,0.07
68.11,167.81605,0.5,0.85,,,,0.21,0.093
