MS_depth,age_kabp_MS,MS
248.39,638.8927,175.3
248.87,640.45785,196.8
249.35,642.0787,245.3
249.83,643.6719,233.3
250.31,645.19155,219.5
250.79,646.70085,144.6
251.27,648.2036,243.1
251.75,649.6941,233.5
252.23,651.1833,190.5
252.71,652.3909,214.1
253.19,653.5189,228.7
253.67,654.68295,204.7
254.15,656.48435,163.1
254.63,658.2449,178.5
255.11,660.0445,129.4
255.59,661.9855,172.8
256.07,663.84315,182.6
256.55,665.59525,165.7
257.03,667.2787,122.9
257.51,668.95145,95.9
257.99,670.59275,99.6
258.47,672.2314,152.2
258.95,673.85945,148.7
259.43,675.35715,98.1
259.91,676.87925,143.3
260.523,680.17705,114.3
261.003,684.26465,102.2
261.483,688.33315,81.8
261.963,691.67555,60.1
262.443,694.9382,50.8
262.923,697.9374,59
263.403,699.81135,59.3
263.883,701.67235,69.1
264.363,703.6357,71.5
264.843,705.76585,85.4
265.323,707.8838,61.2
265.803,710.0797,58
266.283,712.3038,134.9
266.763,714.56845,258.7
267.243,717.188,251.4
267.723,719.839,256.6
268.203,721.9787,177.4
268.683,723.31775,153.3
269.173,724.72615,325.1
269.643,726.2121,237.7
270.123,727.91325,189.2
270.603,729.60445,179.4
271.083,731.25065,125.5
271.563,732.93265,157.4
272.043,734.60795,98.4
272.523,736.2831,106.2
273.003,737.9618,93.3
273.483,739.37945,123.7
273.963,740.5726,84.7
274.443,741.74345,105.1
274.923,742.81125,82.8
275.403,743.8624,104.2
275.883,744.96405,191.1
276.363,746.1657,238
276.843,747.39475,227.9
277.323,748.64525,171.2
277.803,749.97205,226.7
278.283,751.293,149.6
278.763,752.48105,240
279.243,753.6152,167.1
279.723,754.77505,259.1
280.203,756.0117,169.6
280.683,757.22875,139.8
280.74,757.3677,140.1
280.78,757.4675,151
280.815,757.5574,146.8
280.84,757.6206,147
280.905,757.7916,114.6
280.94,757.8793,124.1
280.975,757.9648,146.1
281.01,758.0514,112.5
281.065,758.2006,111.5
281.1,758.2925,104.9
281.14,758.4015,149.8
281.163,758.4738,166.2
281.225,758.6328,229
281.26,758.7267,268.3
281.3,758.8362,153.6
281.33,758.9165,136.1
281.385,759.0641,110.2
281.425,759.1706,134.5
281.46,759.2702,149.4
281.505,759.3946,151.4
281.545,759.5072,109.5
281.58,759.6022,117.7
281.643,759.77645,104.3
281.705,759.9364,105.5
281.745,760.0478,131.5
281.79,760.1689,115.3
281.82,760.2525,112.7
281.865,760.377,118.1
281.905,760.4806,142.9
281.95,760.6054,211.2
281.98,760.6903,167.4
282.025,760.8096,108
282.06,760.903,111
282.123,761.08245,129.7
282.145,761.1333,116.1
282.185,761.239,114.1
282.225,761.3503,156.6
282.26,761.45,135.1
282.3,761.5559,153.3
282.345,761.6748,171.3
282.385,761.7898,146.1
282.42,761.8858,128.7
282.46,762.0028,175.3
282.505,762.133,122.1
282.545,762.2451,93.9
282.571,762.32855,135
282.58,762.3488,127.5
282.603,762.4178,190.6
282.656,762.5647,235.2
282.696,762.6785,145.7
282.736,762.7924,122.3
282.771,762.8903,112.1
282.816,763.025,107.6
282.851,763.1184,105.8
282.896,763.2493,89
282.971,763.4621,110.3
283.011,763.5756,110.9
283.051,763.6901,107.8
283.083,763.7853,112.4
283.136,763.9315,110.7
283.176,764.0458,104.2
283.211,764.1457,109.5
283.251,764.2555,122.9
283.296,764.3907,109.3
